Date,MMM,AAPL,CAT
2008-08-28,72.5,24.82,71.68
2008-08-29,71.6,24.22,70.73
2008-09-02,71.12,23.74,69.08
2008-09-03,70.83,23.85,67.73
2008-09-04,69.74,23.03,63.94
2008-09-05,69.19,22.88,64.07
2008-09-08,71.18,22.56,64.58
2008-09-09,69.45,21.67,61.38
2008-09-10,68.68,21.66,62.82
2008-09-11,69.94,21.81,64.81
2008-09-12,70.15,21.28,65.46
2008-09-15,68.88,20.05,63.21
2008-09-16,69.73,19.98,64.73
2008-09-17,68.85,18.26,63.15
2008-09-18,70.5,19.16,65.32
2008-09-19,72.68,20.13,66.49
2008-09-22,70.7,18.72,64.6
2008-09-23,69,18.12,63.54
2008-09-24,68.57,18.39,61.74
2008-09-25,69.73,18.85,61.96
2008-09-26,69.45,18.32,64.13
2008-09-29,66.32,15.04,59.89
2008-09-30,68.31,16.24,59.6
2008-10-01,67.39,15.59,56.95
2008-10-02,65.6,14.3,52.22
2008-10-03,64.6,13.87,51.21
2008-10-06,63,14.02,49.2
2008-10-07,59.97,12.74,47.33
2008-10-08,57.37,12.83,47.65
2008-10-09,53.5,12.68,44.8
2008-10-10,54.26,13.8,43.13
2008-10-13,59.62,15.75,49.48
2008-10-14,59.37,14.87,47.49
2008-10-15,54.68,13.99,42.06
2008-10-16,57.27,14.56,42.37
2008-10-17,56.49,13.91,39.32
2008-10-20,57.51,14.06,40.9
2008-10-21,60.04,13.07,38.83
2008-10-22,58.19,13.84,36.52
2008-10-23,61.54,14.03,35.36
2008-10-24,59.61,13.77,33.3
2008-10-27,60.37,13.16,32.78
2008-10-28,64.31,14.27,34.95
2008-10-29,62.5,14.94,36.14
2008-10-30,62.55,15.86,37.37
2008-10-31,64.3,15.37,38.2
2008-11-03,64.11,15.28,39.01
2008-11-04,65.61,15.86,42.25
2008-11-05,64.52,14.76,40.4
2008-11-06,62.36,14.16,37.6
2008-11-07,64.83,14.03,38.45
2008-11-10,64.95,13.7,37.41
2008-11-11,62.38,13.54,36.87
2008-11-12,59.44,12.87,35.08
2008-11-13,64.43,13.78,39.41
2008-11-14,63.06,12.89,36.96
2008-11-17,60.8,12.59,35.7
2008-11-18,62.17,12.84,36.19
2008-11-19,58.77,12.33,33.87
2008-11-20,56.79,11.5,32.84
2008-11-21,61.3,11.8,34.67
2008-11-24,63.26,13.28,36.34
2008-11-25,63.64,12.97,37.27
2008-11-26,65.91,13.57,39.33
2008-11-28,66.93,13.24,40.99
2008-12-01,62.35,12.7,36.58
2008-12-02,60.86,13.21,38
2008-12-03,60.71,13.7,39.65
